+-------------+--------------+--------------+-----------------------+------------------+-----+
| c_last_name | c_first_name | c_salutation | c_preferred_cust_flag | ss_ticket_number | cnt |
| Akers       | Evelyn       | Miss         | Y                     | 37663865         | 16  |
| Alarcon     | Tarsha       | Dr.          | N                     | 39214761         | 15  |
| Albert      | Ryan         | Dr.          | Y                     | 63701903         | 15  |
| Albertson   | Johnathon    | Mr.          | Y                     | 63839367         | 15  |
| Albertson   | Sandra       | Dr.          | Y                     | 55146718         | 15  |
| Albrecht    | Virginia     | Mrs.         | Y                     | 66076669         | 16  |
| Albright    | Leticia      | Mrs.         | Y                     | 46866174         | 15  |
| Alderman    | Stephen      | Mr.          | N                     | 64405226         | 15  |
| Aldridge    | Bradly       | Dr.          | N                     | 43240540         | 15  |
| Aldridge    | David        | Mr.          | Y                     | 67954154         | 15  |
| Aldridge    | John         | Dr.          | Y                     | 63654945         | 15  |
| Alexander   | Avis         | Dr.          | Y                     | 56580945         | 15  |
| Alexander   | Charles      | Sir          | Y                     | 66444227         | 15  |
| Alexander   | Daniel       | Sir          | Y                     | 42024372         | 15  |
| Alexander   | David        | Sir          | N                     | 57437452         | 15  |
| Alexander   | Joshua       | Mr.          | N                     | 39475203         | 16  |
| Alexander   | Justin       | Dr.          | Y                     | 41941140         | 15  |
| Alexander   | Tanya        | Dr.          | N                     | 39499073         | 16  |
| Alexander   | Tasha        | Ms.          | Y                     | 47830754         | 16  |
| Alfaro      | Kathy        | Dr.          | N                     | 63583227         | 15  |
| Alfaro      | Matthew      | Mr.          | Y                     | 69735397         | 16  |
| Alfonso     | Virginia     | Ms.          | Y                     | 62685393         | 15  |
| Alford      | John         | Dr.          | Y                     | 48762824         | 15  |
| Ali         | Cynthia      | Dr.          | Y                     | 52509902         | 15  |
| Allen       | Andre        | Mrs.         | N                     | 36218575         | 15  |
| Allen       | Aubrey       | Mr.          | N                     | 54213909         | 16  |
| Allen       | Diana        | Dr.          | Y                     | 36584021         | 15  |
| Allen       | Dorothy      | Mrs.         | N                     | 47480362         | 16  |
| Allen       | George       | Sir          | Y                     | 60450685         | 16  |
| Allen       | Gordon       | Dr.          | N                     | 37346124         | 15  |
| Allen       | Harold       | Sir          | N                     | 65329928         | 15  |
| Allen       | Leonard      | Dr.          | Y                     | 69218994         | 15  |
| Allen       | Micheal      | Dr.          | Y                     | 36032340         | 16  |
| Allen       | Pamela       | Mrs.         | N                     | 50886740         | 15  |
| Allen       | Rae          | Miss         | Y                     | 64239351         | 15  |
| Allen       | Ralph        | Sir          | N                     | 49436160         | 15  |
| Allen       | Ricky        | Sir          | Y                     | 52311117         | 15  |
| Allen       | Salvador     | Dr.          | N                     | 44344174         | 15  |
| Allen       | Stanley      | Sir          | N                     | 56119729         | 16  |
| Allen       | Ted          | Dr.          | N                     | 43049168         | 16  |
| Allen       | Terry        | Mr.          | N                     | 46077146         | 15  |
| Allen       | Yvette       | Dr.          | Y                     | 58402763         | 15  |
| Allison     | Billy        | Mr.          | NULL                  | 51495121         | 16  |
| Allison     | Catherine    | Miss         | N                     | 50041948         | 15  |
| Allison     | Ronald       | Mr.          | Y                     | 41859372         | 16  |
| Allred      | Adele        | Dr.          | Y                     | 60035642         | 16  |
| Alonso      | Chris        | Dr.          | Y                     | 38601602         | 16  |
| Alonso      | Genaro       | Sir          | N                     | 62680025         | 16  |
| Alonso      | Jeffrey      | Mr.          | N                     | 46629919         | 15  |
| Alonso      | NULL         | NULL         | N                     | 64914769         | 15  |
| Alonzo      | Michael      | Sir          | N                     | 61282811         | 15  |
| Alston      | Bruce        | Mr.          | Y                     | 36729950         | 15  |
| Alston      | Farah        | Dr.          | N                     | 39586339         | 15  |
| Altman      | Timothy      | Mr.          | N                     | 52728303         | 15  |
| Alvarado    | Bradley      | Sir          | N                     | 67945757         | 15  |
| Alvarado    | Vance        | Dr.          | N                     | 69554855         | 15  |
| Alvarado    | NULL         | Mrs.         | Y                     | 60724212         | 15  |
| Alvarez     | Cornelius    | Mr.          | N                     | 56580995         | 15  |
| Alvarez     | Edmund       | Sir          | N                     | 49449895         | 16  |
| Alvarez     | Gloria       | Mrs.         | N                     | 66183459         | 16  |
| Alvarez     | Janice       | Mrs.         | Y                     | 50482784         | 15  |
| Alvarez     | Rosalee      | Ms.          | Y                     | 41079836         | 16  |
| Alvarez     | Sarah        | Dr.          | Y                     | 70800931         | 16  |
| Alvarez     | Sean         | Dr.          | Y                     | 49047997         | 16  |
| Alvarez     | Timothy      | Mr.          | Y                     | 67327528         | 15  |
| Alvarez     | NULL         | Sir          | NULL                  | 43027564         | 15  |
| Amato       | Jonathan     | Mr.          | N                     | 60866773         | 15  |
| Ambrose     | Micheal      | Mr.          | Y                     | 45894567         | 16  |
| Ambrose     | Roy          | Sir          | Y                     | 57045164         | 15  |
| Ammons      | Gregory      | Sir          | Y                     | 69461443         | 16  |
| Amos        | Heather      | Miss         | Y                     | 67071814         | 16  |
| Anaya       | Frederick    | Sir          | Y                     | 71647650         | 15  |
| Andersen    | Ann          | Dr.          | N                     | 69878591         | 16  |
| Anderson    | Abraham      | Sir          | Y                     | 57620000         | 15  |
| Anderson    | Carl         | Mr.          | Y                     | 37468555         | 15  |
| Anderson    | Charles      | Mr.          | Y                     | 58872006         | 15  |
| Anderson    | Claire       | Dr.          | Y                     | 50703324         | 15  |
| Anderson    | Claire       | Mrs.         | Y                     | 60623989         | 16  |
| Anderson    | Clark        | Mr.          | N                     | 42933887         | 15  |
| Anderson    | Craig        | Mr.          | Y                     | 45965692         | 15  |
| Anderson    | Deborah      | Ms.          | N                     | 42617316         | 15  |
| Anderson    | Eloise       | Dr.          | Y                     | 50047563         | 16  |
| Anderson    | Gilbert      | Mr.          | N                     | 59416964         | 15  |
| Anderson    | Graciela     | Ms.          | N                     | 62707606         | 16  |
| Anderson    | Gwen         | Miss         | N                     | 50368590         | 15  |
| Anderson    | Janice       | Mrs.         | N                     | 53995342         | 16  |
| Anderson    | Janice       | Ms.          | N                     | 71160216         | 15  |
| Anderson    | Jennifer     | Dr.          | Y                     | 58096114         | 15  |
| Anderson    | Joe          | Dr.          | N                     | 60038218         | 16  |
| Anderson    | John         | Sir          | N                     | 68711713         | 15  |
| Anderson    | Karen        | Mrs.         | Y                     | 47374314         | 15  |
| Anderson    | Kati         | Miss         | Y                     | 70663778         | 15  |
| Anderson    | Keith        | NULL         | NULL                  | 67607215         | 15  |
| Anderson    | Kenneth      | Mr.          | N                     | 42626964         | 15  |
| Anderson    | Lizabeth     | Ms.          | N                     | 68012991         | 15  |
| Anderson    | Lloyd        | Mr.          | N                     | 71896543         | 15  |
| Anderson    | Marcy        | Miss         | N                     | 60450278         | 15  |
| Anderson    | Micheal      | Mr.          | Y                     | 59836655         | 15  |
| Anderson    | Olga         | Dr.          | Y                     | 59345523         | 16  |
| Anderson    | Rachel       | Ms.          | Y                     | 70114708         | 15  |
| Anderson    | Raul         | Sir          | N                     | 43795501         | 15  |
| Anderson    | Renee        | Mrs.         | Y                     | 67196672         | 16  |
| Anderson    | Ronald       | Dr.          | NULL                  | 61025512         | 16  |
| Anderson    | Rose         | Dr.          | N                     | 64942213         | 15  |
| Anderson    | Stephen      | Dr.          | Y                     | 37078390         | 15  |
| Anderson    | Susan        | Mrs.         | N                     | 39899311         | 15  |
| Anderson    | Wanda        | Dr.          | N                     | 70690614         | 16  |
| Anderson    | Wendy        | Miss         | N                     | 69974600         | 16  |
| Andrade     | Sandra       | Mrs.         | Y                     | 46966311         | 15  |
| Andre       | Mamie        | Ms.          | N                     | 64206751         | 15  |
| Andre       | Randy        | Mr.          | Y                     | 38355214         | 16  |
| Andre       | Rosetta      | Miss         | N                     | 64126068         | 15  |
| Andres      | Ronald       | Sir          | Y                     | 46955979         | 16  |
| Andrew      | Richard      | Dr.          | N                     | 40642927         | 15  |
| Andrews     | Brett        | Dr.          | Y                     | 48879504         | 15  |
| Andrews     | Jeffrey      | Sir          | Y                     | 50360194         | 16  |
| Andrews     | Jerry        | Dr.          | Y                     | 36486903         | 16  |
| Andrews     | Lillian      | Ms.          | N                     | 60545039         | 15  |
| Andrews     | Michael      | Mr.          | Y                     | 48680416         | 15  |
| Andrews     | Neil         | Mr.          | Y                     | 60232382         | 15  |
| Andrews     | Robin        | Sir          | Y                     | 67997669         | 16  |
| Andrews     | William      | Dr.          | Y                     | 68571126         | 16  |
| Andrews     | NULL         | Mr.          | N                     | 51292814         | 15  |
| Angel       | Clarence     | Mr.          | N                     | 47935241         | 16  |
| Anglin      | Rudy         | Mr.          | N                     | 63170848         | 15  |
| Antonio     | Lawrence     | Sir          | Y                     | 45200146         | 15  |
| Apodaca     | David        | Mr.          | Y                     | 53368365         | 15  |
| Applegate   | Johnny       | Dr.          | Y                     | 61064105         | 16  |
| Appleton    | Michael      | Sir          | Y                     | 55472593         | 15  |
| Aragon      | Eula         | Ms.          | NULL                  | 60712251         | 16  |
| Aranda      | Bradley      | Dr.          | N                     | 59275015         | 15  |
| Archer      | Harold       | Mr.          | N                     | 54188390         | 15  |
| Arellano    | Edward       | Mr.          | Y                     | 64626875         | 15  |
| Arevalo     | Judith       | Ms.          | N                     | 65913846         | 15  |
| Arias       | Bessie       | Mrs.         | N                     | 37567636         | 15  |
| Armstrong   | Elbert       | Mr.          | Y                     | 36744319         | 15  |
| Armstrong   | Grover       | Dr.          | Y                     | 61072184         | 16  |
| Armstrong   | Teddy        | Mr.          | Y                     | 61754224         | 16  |
| Arndt       | Gerald       | Dr.          | N                     | 59505042         | 15  |
| Arndt       | Michael      | Dr.          | N                     | 56961539         | 15  |
| Arnold      | Cheryl       | Mrs.         | Y                     | 56837670         | 15  |
| Arnold      | Ella         | Dr.          | N                     | 56378877         | 15  |
| Arnold      | Fernando     | Mr.          | Y                     | 53389606         | 15  |
| Arnold      | Heather      | Ms.          | Y                     | 49284271         | 15  |
| Arnold      | Jack         | Sir          | Y                     | 60784732         | 15  |
| Arnold      | John         | Dr.          | N                     | 68675114         | 16  |
| Arnold      | Matthew      | Mr.          | Y                     | 38457270         | 15  |
| Arnold      | Ronald       | Mr.          | Y                     | 58750221         | 16  |
| Arredondo   | Victoria     | Miss         | Y                     | 45124742         | 16  |
| Arrington   | Deidre       | Miss         | N                     | 46119846         | 16  |
| Arriola     | June         | Miss         | N                     | 60111191         | 15  |
| Arroyo      | John         | Mr.          | N                     | 59215265         | 15  |
| Arroyo      | Kendra       | Miss         | Y                     | 57609724         | 15  |
| Asbury      | Valerie      | Dr.          | Y                     | 57901861         | 16  |
| Ash         | Frank        | Mr.          | Y                     | 65060367         | 15  |
| Ashby       | Esther       | Mrs.         | Y                     | 43381782         | 16  |
| Ashby       | Steven       | Dr.          | N                     | 38074989         | 15  |
| Ashford     | Elizabeth    | Miss         | Y                     | 42136600         | 16  |
| Ashley      | Julia        | Miss         | Y                     | 49300050         | 16  |
| Ashley      | Richard      | Mr.          | N                     | 55992942         | 15  |
| Ashley      | William      | Mr.          | N                     | 40773092         | 15  |
| Ashton      | James        | Dr.          | Y                     | 55259108         | 16  |
| Ashton      | Sonia        | Ms.          | Y                     | 43844848         | 15  |
| Ashworth    | Israel       | Mr.          | Y                     | 41691252         | 15  |
| Askew       | Angela       | Ms.          | N                     | 41033972         | 15  |
| Atkins      | Alice        | Ms.          | N                     | 39720736         | 15  |
| Atkins      | Arvilla      | Dr.          | Y                     | 60155179         | 15  |
| Atkins      | Jillian      | Dr.          | Y                     | 54381879         | 15  |
| Atkins      | Joyce        | Dr.          | N                     | 68407914         | 15  |
| Atkins      | Letha        | Mrs.         | Y                     | 71414839         | 16  |
| Atkinson    | Anna         | Ms.          | Y                     | 56518907         | 15  |
| Atkinson    | Sharlene     | Mrs.         | Y                     | 38224130         | 15  |
| Atwell      | Florence     | Miss         | Y                     | 55604863         | 15  |
| Atwell      | Roger        | Dr.          | N                     | 37344910         | 15  |
| Augustine   | Diana        | Mrs.         | Y                     | 51288193         | 15  |
| Augustine   | Eric         | Mr.          | N                     | 65642126         | 15  |
| Ault        | Jesus        | Sir          | Y                     | 38825589         | 15  |
| Ault        | Loren        | Sir          | Y                     | 52998718         | 15  |
| Austin      | Ashley       | Miss         | Y                     | 51146429         | 15  |
| Austin      | Kerrie       | Miss         | N                     | 64973629         | 15  |
| Austin      | Michael      | Mr.          | Y                     | 53957655         | 15  |
| Austin      | Sid          | Sir          | N                     | 57317983         | 15  |
| Austin      | Virginia     | Dr.          | Y                     | 61952299         | 15  |
| Avery       | Racheal      | Ms.          | Y                     | 50266590         | 15  |
| Avila       | Anita        | Miss         | Y                     | 58347839         | 15  |
| Avila       | Louis        | Sir          | Y                     | 61644458         | 15  |
| Aviles      | Glen         | Dr.          | Y                     | 41332655         | 15  |
| Aviles      | Jeffrey      | Sir          | N                     | 71804170         | 16  |
| Ayala       | Louise       | Ms.          | N                     | 51214834         | 15  |
| Ayala       | Oscar        | Sir          | Y                     | 63917669         | 15  |
| Ayala       | Sherri       | Miss         | Y                     | 70773122         | 16  |
| Ayala       | William      | Sir          | N                     | 71415613         | 15  |
| Ayers       | Kenneth      | Mr.          | Y                     | 71435811         | 16  |
| Ayers       | Wm           | NULL         | NULL                  | 70718940         | 15  |
| Babb        | NULL         | Dr.          | NULL                  | 45189517         | 15  |
| Bach        | Frederick    | Mr.          | Y                     | 54064753         | 15  |
| Back        | Keith        | Mr.          | N                     | 46627905         | 15  |
| Back        | Kimberly     | Mrs.         | N                     | 71643180         | 16  |
| Bader       | Christopher  | Mr.          | N                     | 67849112         | 15  |
| Badger      | Margaret     | Miss         | Y                     | 56923861         | 16  |
| Baez        | Collene      | Ms.          | Y                     | 45921352         | 15  |
| Baggett     | Brenda       | Dr.          | N                     | 54178687         | 15  |
| Baggett     | Faustino     | Sir          | N                     | 51800739         | 15  |
| Bagwell     | Jason        | Dr.          | N                     | 47541488         | 15  |
| Bailey      | Billie       | Mr.          | Y                     | 61651573         | 16  |
| Bailey      | Debra        | Mrs.         | N                     | 49353893         | 15  |
| Bailey      | Don          | Dr.          | N                     | 66541383         | 16  |
| Bailey      | Isabel       | Dr.          | Y                     | 53684069         | 15  |
| Bailey      | James        | Mr.          | N                     | 52641195         | 15  |
| Bailey      | Joanne       | Mrs.         | N                     | 67866999         | 16  |
| Bailey      | Katherine    | Ms.          | Y                     | 64737198         | 16  |
| Bailey      | Louis        | Mr.          | N                     | 41185536         | 15  |
| Bailey      | Paul         | Mr.          | N                     | 53667404         | 15  |
| Bailey      | Pearl        | Dr.          | Y                     | 48609352         | 15  |
| Bailey      | Rebecca      | Mrs.         | Y                     | 66798294         | 16  |
| Bailey      | Sean         | Mr.          | Y                     | 41493627         | 15  |
| Bailey      | Trisha       | Mrs.         | Y                     | 61958135         | 16  |
| Bailey      | Walter       | Sir          | Y                     | 65437728         | 15  |
| Bain        | David        | NULL         | Y                     | 65803886         | 15  |
| Bain        | John         | Sir          | Y                     | 40544594         | 15  |
| Bain        | Ruby         | Dr.          | Y                     | 41591039         | 15  |
| Bair        | Jose         | Dr.          | N                     | 49391736         | 15  |
| Baird       | Annie        | Miss         | N                     | 56776725         | 15  |
| Baird       | Carlton      | Dr.          | Y                     | 50402035         | 16  |
| Baird       | William      | Dr.          | N                     | 64147952         | 15  |
| Baker       | Alexander    | Miss         | N                     | 68685858         | 15  |
| Baker       | Carter       | Dr.          | N                     | 64298971         | 15  |
| Baker       | Diane        | Miss         | Y                     | 50344976         | 15  |
| Baker       | Donna        | Mrs.         | N                     | 42515322         | 15  |
| Baker       | Erika        | Ms.          | Y                     | 67004095         | 16  |
| Baker       | Heather      | Miss         | N                     | 65301106         | 16  |
| Baker       | James        | Dr.          | Y                     | 42053006         | 16  |
| Baker       | Joel         | Mr.          | N                     | 52172828         | 15  |
| Baker       | Jorge        | Mr.          | N                     | 41338621         | 15  |
| Baker       | Juanita      | Ms.          | N                     | 41377881         | 15  |
| Baker       | Kathryn      | Mrs.         | N                     | 40583473         | 16  |
| Baker       | Louis        | Mr.          | N                     | 62430944         | 15  |
| Baker       | Louise       | Ms.          | N                     | 42446154         | 15  |
| Baker       | Mark         | Dr.          | Y                     | 41013766         | 15  |
| Baker       | Mauro        | Sir          | Y                     | 42913162         | 15  |
| Baker       | Sharon       | Dr.          | N                     | 36725417         | 16  |
| Baker       | Sharon       | Miss         | N                     | 50622397         | 16  |
| Baker       | Thomas       | Mr.          | N                     | 54448491         | 15  |
| Baker       | Thomas       | Sir          | Y                     | 57926299         | 15  |
| Baker       | Tyrone       | Sir          | Y                     | 59109514         | 15  |
| Baker       | Walter       | Dr.          | N                     | 39124985         | 16  |
| Baker       | William      | Dr.          | N                     | 58176367         | 16  |
| Baldwin     | Bryon        | Sir          | Y                     | 57542039         | 15  |
| Baldwin     | Carmela      | Ms.          | N                     | 39186312         | 16  |
| Baldwin     | Laurette     | Ms.          | Y                     | 56643095         | 16  |
| Bales       | Brian        | Sir          | N                     | 59370577         | 15  |
| Bales       | Evelyn       | Dr.          | N                     | 52112634         | 15  |
| Ball        | Clifford     | Mr.          | N                     | 70801985         | 15  |
| Ball        | Helen        | Mrs.         | Y                     | 39535956         | 15  |
| Ball        | Lisa         | Ms.          | N                     | 53389511         | 15  |
| Ball        | Luke         | Dr.          | Y                     | 51182889         | 15  |
| Ballard     | Glenn        | Sir          | N                     | 41620620         | 15  |
| Ballard     | Marcus       | Dr.          | Y                     | 44176988         | 15  |
| Ballard     | Micheal      | Mr.          | N                     | 70838230         | 15  |
| Ballinger   | Rosie        | Ms.          | Y                     | 62304473         | 15  |
| Banda       | Percy        | Sir          | N                     | 49597706         | 16  |
| Banda       | Sarah        | Miss         | Y                     | 60454125         | 16  |
| Banks       | Brent        | Dr.          | N                     | 62164484         | 15  |
| Banks       | Claudine     | Dr.          | Y                     | 70792584         | 15  |
| Banks       | Michael      | Dr.          | N                     | 71080406         | 16  |
| Banks       | Nathaniel    | Mr.          | N                     | 53799359         | 16  |
| Banks       | Ramon        | Mr.          | N                     | 57318209         | 16  |
| Banks       | Richard      | Mr.          | N                     | 71679929         | 15  |
| Banks       | Robert       | Mr.          | N                     | 44175207         | 15  |
| Banks       | Viola        | Mrs.         | Y                     | 50609489         | 15  |
| Banuelos    | James        | Mr.          | N                     | 44442984         | 16  |
| Barajas     | Ed           | Dr.          | Y                     | 63400416         | 15  |
| Barber      | Eula         | Ms.          | Y                     | 53408059         | 15  |
| Barber      | Patrick      | Mr.          | N                     | 43160625         | 16  |
| Barber      | Peter        | Dr.          | Y                     | 38757997         | 15  |
| Barger      | Maxine       | Dr.          | Y                     | 36376760         | 16  |
| Barham      | Ricardo      | Mr.          | Y                     | 38106192         | 15  |
| Barker      | Elizabeth    | Mrs.         | Y                     | 42029338         | 15  |
| Barker      | Marie        | Dr.          | N                     | 71657603         | 15  |
| Barker      | Ramon        | Mr.          | Y                     | 59638166         | 15  |
| Barker      | Stephen      | Mr.          | N                     | 45804728         | 15  |
| Barlow      | Earl         | Dr.          | N                     | 38395818         | 15  |
| Barnard     | Bonnie       | Mrs.         | Y                     | 42188339         | 15  |
| Barnard     | Louis        | Dr.          | N                     | 48898862         | 15  |
| Barnard     | Stephen      | Dr.          | Y                     | 36074614         | 16  |
| Barnes      | Barbara      | Mrs.         | N                     | 59829299         | 15  |
| Barnes      | Betty        | Mrs.         | N                     | 44121377         | 15  |
| Barnes      | Cedric       | Dr.          | N                     | 44622244         | 15  |
| Barnes      | David        | Sir          | Y                     | 57964790         | 15  |
| Barnes      | Debbie       | Dr.          | Y                     | 61560220         | 15  |
| Barnes      | George       | Mr.          | N                     | 52123534         | 15  |
| Barnes      | Gloria       | Ms.          | N                     | 70217840         | 16  |
| Barnes      | Joshua       | Mr.          | Y                     | 65553132         | 15  |
| Barnes      | Marguerite   | Miss         | Y                     | 40508406         | 16  |
| Barnes      | Martha       | Dr.          | Y                     | 38876716         | 15  |
| Barnes      | Nathan       | Dr.          | Y                     | 42770784         | 15  |
| Barnes      | Suzanne      | Ms.          | N                     | 49531434         | 15  |
| Barnes      | NULL         | Sir          | NULL                  | 58959870         | 15  |
| Barnett     | Nicole       | Mrs.         | Y                     | 62470445         | 16  |
| Barney      | Felicia      | Dr.          | Y                     | 60665214         | 16  |
| Barnhart    | Robert       | Dr.          | N                     | 63145872         | 15  |
| Baron       | Grace        | Ms.          | Y                     | 51390862         | 15  |
| Baron       | Lisa         | Dr.          | Y                     | 38261697         | 15  |
| Baron       | Maxine       | Dr.          | N                     | 65320905         | 16  |
| Barr        | Doyle        | Dr.          | N                     | 52457724         | 15  |
| Barrera     | Anthony      | Mrs.         | Y                     | 71731400         | 16  |
| Barrera     | Harry        | Mr.          | Y                     | 60647721         | 16  |
| Barrera     | Nicolas      | Sir          | Y                     | 60635561         | 16  |
| Barreto     | Curtis       | Mr.          | Y                     | 46432182         | 15  |
| Barrett     | Christopher  | Sir          | N                     | 49370972         | 16  |
| Barrientos  | Robert       | Dr.          | N                     | 70842745         | 15  |
| Barrios     | Margaret     | Dr.          | Y                     | 57857657         | 15  |
| Barron      | Joseph       | Mr.          | N                     | 67440577         | 15  |
| Barron      | Karen        | Dr.          | Y                     | 43852087         | 15  |
| Barrows     | Joseph       | Mr.          | Y                     | 40950199         | 15  |
| Barry       | Breana       | Dr.          | N                     | 38589236         | 15  |
| Barry       | Katherine    | Dr.          | N                     | 56028076         | 15  |
| Barry       | Ralph        | Sir          | Y                     | 38386579         | 16  |
| Bartholomew | Ronald       | Mr.          | N                     | 71248246         | 16  |
| Bartlett    | Aaron        | Mrs.         | Y                     | 55375787         | 16  |
| Bartlett    | Jimmy        | Dr.          | N                     | 53477257         | 15  |
| Bartlett    | Steven       | Sir          | Y                     | 53953260         | 16  |
| Bartlett    | William      | Mr.          | Y                     | 65636902         | 15  |
| Barton      | Chris        | Dr.          | Y                     | 70071679         | 15  |
| Bass        | James        | Mr.          | N                     | 41363661         | 16  |
| Bass        | Janice       | Mrs.         | Y                     | 59690184         | 15  |
| Bass        | Kenneth      | Dr.          | N                     | 39610248         | 16  |
| Bass        | Marjorie     | Ms.          | N                     | 62747860         | 15  |
| Bass        | Robert       | Dr.          | Y                     | 61002269         | 16  |
| Bass        | Shamika      | Mrs.         | N                     | 67339310         | 15  |
| Bassett     | Hester       | Mrs.         | Y                     | 39369195         | 15  |
| Bates       | Andrea       | Dr.          | Y                     | 43552906         | 15  |
| Bates       | Arline       | Miss         | Y                     | 38390647         | 15  |
| Bates       | Daryl        | Dr.          | Y                     | 40774924         | 16  |
| Bates       | Jon          | Dr.          | N                     | 70204719         | 15  |
| Batson      | Shelley      | Dr.          | Y                     | 36882220         | 15  |
| Battaglia   | Harry        | Sir          | N                     | 53958985         | 15  |
| Battle      | Jeannette    | Mrs.         | Y                     | 50767364         | 15  |
| Battle      | Mark         | Sir          | Y                     | 59292530         | 16  |
| Batts       | Brenda       | Miss         | N                     | 60409183         | 15  |
| Bauer       | Susie        | Mrs.         | N                     | 59946424         | 15  |
| Baugh       | Carrie       | Mrs.         | Y                     | 38455878         | 15  |
| Baumann     | Alfred       | Dr.          | Y                     | 36952270         | 16  |
| Bautista    | Brandon      | Mr.          | Y                     | 66370936         | 16  |
| Bautista    | Cathy        | Ms.          | Y                     | 64133569         | 15  |
| Baxter      | Frank        | Dr.          | N                     | 36720484         | 15  |
| Baxter      | Jeffrey      | Sir          | N                     | 53282677         | 16  |
| Baxter      | Melissa      | Dr.          | Y                     | 62017368         | 15  |
| Bayne       | Felipa       | Dr.          | Y                     | 70970420         | 15  |
| Bays        | Tina         | Dr.          | Y                     | 55064250         | 15  |
| Beach       | Aaron        | Miss         | Y                     | 71116627         | 15  |
| Beach       | Clyde        | Mr.          | Y                     | 51896392         | 16  |
| Beal        | Pauline      | Miss         | N                     | 54200150         | 16  |
| Beall       | Todd         | Mr.          | N                     | 44637543         | 16  |
| Beaman      | Brandon      | Sir          | Y                     | 70924646         | 16  |
| Bean        | John         | Sir          | Y                     | 52748934         | 15  |
